:START_ID,:END_ID,relation,concepts,synsets,:TYPE
Laboratory test report(s) are required on shading coefficient or solar heat gain coefficient.,laboratory test report(s),is participated by,[],[],Relation
Laboratory test report(s) are required on shading coefficient or solar heat gain coefficient.,shading coefficient,is participated by,[],[],Relation
Laboratory test report(s) are required on shading coefficient or solar heat gain coefficient.,solar heat gain coefficient,is participated by,[],[],Relation
Laboratory test report(s) are required on daylight transmittance.,laboratory test report(s),is participated by,[],[],Relation
Laboratory test report(s) are required on daylight transmittance.,daylight transmittance,is participated by,[],[],Relation
Manufacturer,effective energy management policies,shall have,[],[],Relation
Manufacturer,energy management programme,shall have,[],[],Relation
Energy management programme,initiatives to reduce energy use,includes,[],[],Relation
Energy management programme,initiatives for suppliers or contract manufacturers,includes,[],[],Relation
Environmental Management System,ISO14001 or EMAS certification,requires,[],[],Relation
ISO14001 or EMAS,accredited certification body,issued by,[],[],Relation
Product packaging,halogenated plastics,shall not contain,[],[],Relation
Packaging materials,100% recycled or readily recyclable,shall be,[],[],Relation
Technology,reduction of resources used,enables,[],[],Relation
Glazing product,self-cleaning glass or reactive glazing technology,uses,[],[],Relation
Product,"quality, safety, air leakage requirements",shall fulfil,[],[],Relation
Manufacturer,10-year guarantee,shall provide,[],[],Relation
Glazing products,"substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight",shall not contain,[],[],Relation
Glazing products,organotin compounds,shall not contain,[],[],Relation
Glazing products,phthalates or polybrominated diphenylethers,shall not contain,[],[],Relation
The manufacturer of the product shall have effective energy management policies and procedures.,Initiatives taken to reduce energy use and improve energy efficiency.,including,[],[],Relation
The manufacturer of the product shall have effective energy management policies and procedures.,Initiatives or requirements for suppliers or contract manufacturers.,including,[],[],Relation
The product packaging shall not contain halogenated plastics.,All packaging materials shall be either comprised of 100% recycled material or readily recyclable.,and,[],[],Relation
The technology adopted enables the glazing product to reduce resources used in maintenance.,"The technology adopted enables the glazing product to reduce resources used in energy, such as lighting.",or,[],[],Relation
"The product shall fulfil the quality, safety, air leakage, and other functional requirements.",The manufacturer shall provide a 10-year guarantee to the product.,and,[],[],Relation
The manufacturer of the product shall have effective energy management policies and procedures.,manufacturer,is participated by,[],[],Relation
The manufacturer of the product shall have effective energy management policies and procedures.,product,is participated by,[],[],Relation
The manufacturer of the product shall have an energy management programme.,manufacturer,is participated by,[],[],Relation
The manufacturer of the product shall have an energy management programme.,product,is participated by,[],[],Relation
The manufacturer has initiatives taken to reduce energy use and improve energy efficiency.,manufacturer,is participated by,[],[],Relation
The manufacturer has initiatives or requirements for suppliers or contract manufacturers.,manufacturer,is participated by,[],[],Relation
The manufacturer has initiatives or requirements for suppliers or contract manufacturers.,suppliers,is participated by,[],[],Relation
The manufacturer has initiatives or requirements for suppliers or contract manufacturers.,contract manufacturers,is participated by,[],[],Relation
There is a requirement for valid certification of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,ISO14001,is participated by,[],[],Relation
There is a requirement for valid certification of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,EU Eco-Management and Audit Scheme,is participated by,[],[],Relation
There is a requirement for valid certification of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,EMAS,is participated by,[],[],Relation
Product packaging shall not contain halogenated plastics.,product packaging,is participated by,[],[],Relation
All packaging materials shall be either comprised of 100% recycled material or readily recyclable.,packaging materials,is participated by,[],[],Relation
The technology adopted enables the glazing product to reduce resources used in maintenance or energy.,glazing product,is participated by,[],[],Relation
The technology adopted enables the glazing product to reduce resources used in maintenance or energy.,technology,is participated by,[],[],Relation
"Product shall fulfil the quality, safety, air leakage and other functional requirements.",product,is participated by,[],[],Relation
Manufacturer shall provide a 10-year guarantee to the product.,manufacturer,is participated by,[],[],Relation
Manufacturer shall provide a 10-year guarantee to the product.,product,is participated by,[],[],Relation
"Product shall NOT contain substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product.",product,is participated by,[],[],Relation
"Product shall NOT contain substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product.",IARC Group 1,is participated by,[],[],Relation
"Product shall NOT contain substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product.",IARC Group 2A,is participated by,[],[],Relation
"Product shall NOT contain substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product.",IARC Group 2B,is participated by,[],[],Relation
Product shall NOT contain organotin compounds.,product,is participated by,[],[],Relation
Product shall NOT contain organotin compounds.,organotin compounds,is participated by,[],[],Relation
Product shall NOT contain phthalates or polybrominated diphenylethers.,product,is participated by,[],[],Relation
Product shall NOT contain phthalates or polybrominated diphenylethers.,phthalates,is participated by,[],[],Relation
Product shall NOT contain phthalates or polybrominated diphenylethers.,polybrominated diphenylethers,is participated by,[],[],Relation
European Union Directive 2001/59/EC,harmful substances,classifies,[],[],Relation
tinted glazing product,toxic heavy metals,shall not contain,[],[],Relation
toxic heavy metals,"lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), cobalt (Co)",include,[],[],Relation
double/triple glazing product,chlorinated / brominated paraffins,shall not contain,[],[],Relation
Filler gases,insulating units,used in,[],[],Relation
CIC Green Product Certification,HKGBC Green Product Accreditation and Standards,formerly known as,[],[],Relation
"The European Union Directive 2001/59/EC classifies substances as harmful, toxic, or very toxic.",The following requirements are applicable to tinted glazing product only.,because,[],[],Relation
Product shall not contain toxic heavy metals or ingredients containing heavy metals.,The requirements are applicable to tinted glazing products.,because,[],[],Relation
The product shall not contain chlorinated or brominated paraffins.,The requirements are applicable to double/triple glazing products.,because,[],[],Relation
Filler gases used in the insulating units have a GWP100 of ≤ 5.,The requirements are part of the product specifications.,because,[],[],Relation
Product shall not contain toxic heavy metals or ingredients containing heavy metals.,Product,is participated by,[],[],Relation
Product shall not contain toxic heavy metals or ingredients containing heavy metals.,toxic heavy metals,is participated by,[],[],Relation
Product shall not contain toxic heavy metals or ingredients containing heavy metals.,ingredients containing heavy metals,is participated by,[],[],Relation
Product shall not contain chlorinated / brominated paraffins.,Product,is participated by,[],[],Relation
Product shall not contain chlorinated / brominated paraffins.,chlorinated / brominated paraffins,is participated by,[],[],Relation
Filler gases used in the insulating units are less than or equal to 5 in GWP100.,Filler gases,is participated by,[],[],Relation
Filler gases used in the insulating units are less than or equal to 5 in GWP100.,insulating units,is participated by,[],[],Relation
Filler gases used in the insulating units are less than or equal to 5 in GWP100.,GWP100,is participated by,[],[],Relation
Scheme,Construction Industry Council,is owned by,[],[],Relation
Scheme,Hong Kong Green Building Council,is implemented by,[],[],Relation
Scheme,"consumers, building professionals and policy makers",aims to help,[],[],Relation
Standard,assessment criteria and benchmarks,sets out,[],[],Relation
Standard,verification methods,defines,[],[],Relation
glazing products,building material,are used for,[],[],Relation
glazing products,substances harmful to environment and health,contain,[],[],Relation
glazing products,energy losses,cause,[],[],Relation
assessment criteria,energy-efficient building envelop,promote,[],[],Relation
Standard,glass in windows and building envelop,applies to,[],[],Relation
Standard,glass blocks and bricks,excludes,[],[],Relation
application,type and product series,specifies,[],[],Relation
The Scheme is owned by the Construction Industry Council (CIC) and implemented by the Hong Kong Green Building Council (HKGBC).,"The Scheme aims to help consumers, building professionals, and policy makers identify environmentally preferable building materials and products.",because,[],[],Relation
The Standard sets out the assessment criteria and their benchmarks for glazing products.,The Standard governs the application and award of a label under the Scheme.,to,[],[],Relation
The Standard defines the verification methods.,The Standard determines which labelling grade should be awarded to the product according to the assessment criteria.,to,[],[],Relation
This Standard neither modifies nor supersedes laws and regulations.,Compliance with this Standard is not a substitute for compliance with any applicable laws or regulations.,because,[],[],Relation
"Glazing products are commonly used for fixed and opening windows, window doors, curtain walls, and other elements of the building envelope.",The glazing area of a building serves as an interface to transmit light and provide an outdoor view.,because,[],[],Relation
Many glazing products contain substances that may be harmful to the environment and human health.,The greatest environmental impact of glazing products results from energy losses during the building operation stage.,but,[],[],Relation
The assessment criteria developed for glazing are to promote the use of energy-efficient building envelopes.,The assessment criteria are to minimize the environmental impact through stringent assessment criteria on the production process and use of materials.,and,[],[],Relation
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of the building envelope.",Glass blocks and bricks or glass used for internal partitions are excluded from this Standard.,but,[],[],Relation
The Scheme is an environmental labelling scheme owned by the Construction Industry Council and implemented by the Hong Kong Green Building Council.,Scheme,is participated by,[],[],Relation
The Scheme is an environmental labelling scheme owned by the Construction Industry Council and implemented by the Hong Kong Green Building Council.,Construction Industry Council,is participated by,[],[],Relation
The Scheme is an environmental labelling scheme owned by the Construction Industry Council and implemented by the Hong Kong Green Building Council.,Hong Kong Green Building Council,is participated by,[],[],Relation
"The Scheme aims to help consumers, building professionals, and policy makers identify environmentally preferable building materials and products.",Scheme,is participated by,[],[],Relation
"The Scheme aims to help consumers, building professionals, and policy makers identify environmentally preferable building materials and products.",consumers,is participated by,[],[],Relation
"The Scheme aims to help consumers, building professionals, and policy makers identify environmentally preferable building materials and products.",building professionals,is participated by,[],[],Relation
"The Scheme aims to help consumers, building professionals, and policy makers identify environmentally preferable building materials and products.",policy makers,is participated by,[],[],Relation
The Standard sets out the assessment criteria and their benchmarks for glazing products to govern the application and award of a label under the Scheme.,Standard,is participated by,[],[],Relation
The Standard sets out the assessment criteria and their benchmarks for glazing products to govern the application and award of a label under the Scheme.,glazing products,is participated by,[],[],Relation
The Standard sets out the assessment criteria and their benchmarks for glazing products to govern the application and award of a label under the Scheme.,Scheme,is participated by,[],[],Relation
The Standard defines the verification methods to determine which labelling grade should be awarded to the product according to the assessment criteria.,Standard,is participated by,[],[],Relation
The Standard defines the verification methods to determine which labelling grade should be awarded to the product according to the assessment criteria.,verification methods,is participated by,[],[],Relation
The Standard defines the verification methods to determine which labelling grade should be awarded to the product according to the assessment criteria.,product,is participated by,[],[],Relation
The Standard defines the verification methods to determine which labelling grade should be awarded to the product according to the assessment criteria.,assessment criteria,is participated by,[],[],Relation
This Standard neither modifies nor supersedes laws and regulations.,Standard,is participated by,[],[],Relation
This Standard neither modifies nor supersedes laws and regulations.,laws,is participated by,[],[],Relation
This Standard neither modifies nor supersedes laws and regulations.,regulations,is participated by,[],[],Relation
Compliance with this Standard is not a substitute for compliance with any applicable laws or regulations.,Standard,is participated by,[],[],Relation
Compliance with this Standard is not a substitute for compliance with any applicable laws or regulations.,laws,is participated by,[],[],Relation
Compliance with this Standard is not a substitute for compliance with any applicable laws or regulations.,regulations,is participated by,[],[],Relation
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product.,laws,is participated by,[],[],Relation
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product.,regulations,is participated by,[],[],Relation
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product.,manufacturing,is participated by,[],[],Relation
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product.,marketing,is participated by,[],[],Relation
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product.,product,is participated by,[],[],Relation
"Glazing products are commonly used building material for fixed and opening windows, window doors, curtain walls and other elements of the building envelope.",Glazing products,is participated by,[],[],Relation
"Glazing products are commonly used building material for fixed and opening windows, window doors, curtain walls and other elements of the building envelope.",fixed and opening windows,is participated by,[],[],Relation
"Glazing products are commonly used building material for fixed and opening windows, window doors, curtain walls and other elements of the building envelope.",window doors,is participated by,[],[],Relation
"Glazing products are commonly used building material for fixed and opening windows, window doors, curtain walls and other elements of the building envelope.",curtain walls,is participated by,[],[],Relation
"Glazing products are commonly used building material for fixed and opening windows, window doors, curtain walls and other elements of the building envelope.",building envelope,is participated by,[],[],Relation
"The glazing area of a building could account for 10 to 25% of a building's exposed surface, serving as an interface to transmit light and provide outdoor view.",glazing area,is participated by,[],[],Relation
"The glazing area of a building could account for 10 to 25% of a building's exposed surface, serving as an interface to transmit light and provide outdoor view.",building,is participated by,[],[],Relation
"The glazing area of a building could account for 10 to 25% of a building's exposed surface, serving as an interface to transmit light and provide outdoor view.",exposed surface,is participated by,[],[],Relation
"The glazing area of a building could account for 10 to 25% of a building's exposed surface, serving as an interface to transmit light and provide outdoor view.",light,is participated by,[],[],Relation
"The glazing area of a building could account for 10 to 25% of a building's exposed surface, serving as an interface to transmit light and provide outdoor view.",outdoor view,is participated by,[],[],Relation
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses.",glazing,is participated by,[],[],Relation
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses.",clear and tinted float glass,is participated by,[],[],Relation
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses.",tempered glass,is participated by,[],[],Relation
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses.",laminated glass,is participated by,[],[],Relation
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses.",coated glasses,is participated by,[],[],Relation
Many glazing products contain substances that may be harmful to the environment and human health.,glazing products,is participated by,[],[],Relation
Many glazing products contain substances that may be harmful to the environment and human health.,substances,is participated by,[],[],Relation
Many glazing products contain substances that may be harmful to the environment and human health.,environment,is participated by,[],[],Relation
Many glazing products contain substances that may be harmful to the environment and human health.,human health,is participated by,[],[],Relation
The greatest environmental impact of glazing products results from the energy losses during the building operation stage due to their long technical service life.,environmental impact,is participated by,[],[],Relation
The greatest environmental impact of glazing products results from the energy losses during the building operation stage due to their long technical service life.,glazing products,is participated by,[],[],Relation
The greatest environmental impact of glazing products results from the energy losses during the building operation stage due to their long technical service life.,energy losses,is participated by,[],[],Relation
The greatest environmental impact of glazing products results from the energy losses during the building operation stage due to their long technical service life.,building operation stage,is participated by,[],[],Relation
The greatest environmental impact of glazing products results from the energy losses during the building operation stage due to their long technical service life.,technical service life,is participated by,[],[],Relation
The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelope and to minimize the environmental impact through stringent assessment criteria on the production process and use of materials.,assessment criteria,is participated by,[],[],Relation
The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelope and to minimize the environmental impact through stringent assessment criteria on the production process and use of materials.,glazing,is participated by,[],[],Relation
The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelope and to minimize the environmental impact through stringent assessment criteria on the production process and use of materials.,energy-efficient building envelope,is participated by,[],[],Relation
The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelope and to minimize the environmental impact through stringent assessment criteria on the production process and use of materials.,environmental impact,is participated by,[],[],Relation
The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelope and to minimize the environmental impact through stringent assessment criteria on the production process and use of materials.,production process,is participated by,[],[],Relation
The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelope and to minimize the environmental impact through stringent assessment criteria on the production process and use of materials.,materials,is participated by,[],[],Relation
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of the building envelope.",Standard,is participated by,[],[],Relation
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of the building envelope.",glass,is participated by,[],[],Relation
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of the building envelope.",fixed and opening windows,is participated by,[],[],Relation
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of the building envelope.",window doors,is participated by,[],[],Relation
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of the building envelope.",building envelope,is participated by,[],[],Relation
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard.,glass blocks,is participated by,[],[],Relation
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard.,bricks,is participated by,[],[],Relation
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard.,glass,is participated by,[],[],Relation
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard.,internal partitions,is participated by,[],[],Relation
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard.,Standard,is participated by,[],[],Relation
Each application should specify its types and product series.,application,is participated by,[],[],Relation
Each application should specify its types and product series.,types,is participated by,[],[],Relation
Each application should specify its types and product series.,product series,is participated by,[],[],Relation
One application is only for one product series with the same type of glazing.,application,is participated by,[],[],Relation
One application is only for one product series with the same type of glazing.,product series,is participated by,[],[],Relation
One application is only for one product series with the same type of glazing.,glazing,is participated by,[],[],Relation
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series.,applications,is participated by,[],[],Relation
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series.,products,is participated by,[],[],Relation
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series.,thickness,is participated by,[],[],Relation
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series.,coatings,is participated by,[],[],Relation
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series.,labelled product series,is participated by,[],[],Relation
A labelled product series is only eligible for applying within the validity period of the label.,labelled product series,is participated by,[],[],Relation
A labelled product series is only eligible for applying within the validity period of the label.,validity period,is participated by,[],[],Relation
A labelled product series is only eligible for applying within the validity period of the label.,label,is participated by,[],[],Relation
CIC,Green Product Certification,administers,[],[],Relation
CIC,Green Label,provides,[],[],Relation
CNAS,Conformity Assessment,accredits,[],[],Relation
Double or triple glazing,two layers of glass,consists of,[],[],Relation
External reflectance,daylight reflected,measures,[],[],Relation
Glazing,glass,is made of,[],[],Relation
HKAS,Accreditation Service,provides,[],[],Relation
HKGBC,Green Building Council,operates,[],[],Relation
HOKLAS,Laboratory Accreditation Scheme,administers,[],[],Relation
IARC,Cancer Research,conducts,[],[],Relation
ISO,Organisations,standardizes,[],[],Relation
MSDS,Safety Data,provides,[],[],Relation
Shading coefficient,solar heat gain,compares,[],[],Relation
Single glazing,single sheet of glass,consists of,[],[],Relation
Solar heat gain coefficient,solar heat gain,measures,[],[],Relation
Standard single glazing,3mm clear float glass,refers to,[],[],Relation
Third-party,product or service,evaluates,[],[],Relation
U-value,heat transfer,calculates,[],[],Relation
Visible light transmittance,visible light transmission,measures,[],[],Relation
A product to be assessed should meet all the minimum requirements of the 'Core Criteria'.,be awarded a 'Green' Label under the Scheme.,in order to,[],[],Relation
Bonus points may be awarded if the product meets the 'Non-core Criteria'.,"a 'Bronze', 'Silver', 'Gold' or 'Platinum' Label will be awarded according to the total points accumulated.",and,[],[],Relation
All submissions and documentations shall be endorsed by the Chief Executive Officer or other authorised.,submissions are considered complete.,before,[],[],Relation
A product to be assessed should meet all the minimum requirements of the 'Core Criteria' to be awarded a 'Green' Label under the Scheme.,product,is participated by,[],[],Relation
A product to be assessed should meet all the minimum requirements of the 'Core Criteria' to be awarded a 'Green' Label under the Scheme.,Core Criteria,is participated by,[],[],Relation
A product to be assessed should meet all the minimum requirements of the 'Core Criteria' to be awarded a 'Green' Label under the Scheme.,Scheme,is participated by,[],[],Relation
Bonus points may be awarded if the product meets the 'Non-core Criteria'.,product,is participated by,[],[],Relation
Bonus points may be awarded if the product meets the 'Non-core Criteria'.,Non-core Criteria,is participated by,[],[],Relation
"A 'Bronze', 'Silver', 'Gold' or 'Platinum' Label will be awarded according to the total points accumulated.",Bronze Label,is participated by,[],[],Relation
"A 'Bronze', 'Silver', 'Gold' or 'Platinum' Label will be awarded according to the total points accumulated.",Silver Label,is participated by,[],[],Relation
"A 'Bronze', 'Silver', 'Gold' or 'Platinum' Label will be awarded according to the total points accumulated.",Gold Label,is participated by,[],[],Relation
"A 'Bronze', 'Silver', 'Gold' or 'Platinum' Label will be awarded according to the total points accumulated.",Platinum Label,is participated by,[],[],Relation
"A 'Bronze', 'Silver', 'Gold' or 'Platinum' Label will be awarded according to the total points accumulated.",points,is participated by,[],[],Relation
All submissions and documentations shall be endorsed by the Chief Executive Officer or other authorised persons.,submissions,is participated by,[],[],Relation
All submissions and documentations shall be endorsed by the Chief Executive Officer or other authorised persons.,documentations,is participated by,[],[],Relation
All submissions and documentations shall be endorsed by the Chief Executive Officer or other authorised persons.,Chief Executive Officer,is participated by,[],[],Relation
All submissions and documentations shall be endorsed by the Chief Executive Officer or other authorised persons.,authorised persons,is participated by,[],[],Relation
Applicant,conformance to assessment criteria,demonstrate,[],[],Relation
Certification,valid during assessment process,must be,[],[],Relation
Laboratory report,valid during assessment process,must be,[],[],Relation
Validity,5 years from date of issue,shall be,[],[],Relation
Chemical tests,third party or manufacturer,should be conducted by,[],[],Relation
Third party or manufacturer,ISO17025 certification,has received,[],[],Relation
Product,"quality, safety, air leakage and other functional requirements",shall fulfil,[],[],Relation
Glass manufacturer,10-year guarantee,shall provide,[],[],Relation
Tests,third party or manufacturer,should be conducted by,[],[],Relation
Manufacturer,ISO 17025 certification,has received,[],[],Relation
Manufacturer,valid certificates of ISO14001 or EMAS,shall possess,[],[],Relation
Targets,environmental impacts during manufacturing,shall be set to reduce,[],[],Relation
Product manufacturer,essential information with each delivery,shall provide,[],[],Relation
The validity of all laboratory report and documentation shall be 5 years from the date of issue.,"All certification, laboratory report and documentation must be valid during the assessment process and labelling period.",before,[],[],Relation
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,"All certification, laboratory report and documentation must be valid during the assessment process and labelling period.",because,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards (BS), BS EN (European Standard), American Society for Testing and Materials (ASTM), Chinese National Standard (GB) or equivalent national standards.",The product earns 5 Points (Non-Core Criterion) for Serviceability.,as a result,[],[],Relation
Glass manufacturer shall provide a 10-year guarantee covering functions and quality according to relevant standards.,"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards.",after,[],[],Relation
The tests should be conducted by either a third party or manufacturer who has received ISO 17025 certification or national accreditation systems.,Verification requires laboratory test report(s) for all relevant quality and performance tests.,because,[],[],Relation
Manufacturer of the products shall possess valid certificates of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,The manufacturer earns 5 Points (Non-Core Criterion) for Environmental Management System.,as a result,[],[],Relation
Targets shall be set to reduce the environmental impacts during the manufacturing process.,Manufacturer of the products shall possess valid certificates of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,because,[],[],Relation
A valid ISO14001 or EMAS Certificate issued by local or overseas accredited certification bodies is required.,Verification of the Environmental Management System requires certification.,because,[],[],Relation
The essential information shall be provided by the product manufacturer with each delivery of the glazing products or made available to the public.,The product earns 5 Points (Core Criterion) for Product Information.,as a result,[],[],Relation
"Instructions on how the product shall be installed, adjusted and protected in a sustainable manner shall be provided.",The essential information shall be provided by the product manufacturer with each delivery of the glazing products or made available to the public.,because,[],[],Relation
Persons of the Applicant demonstrate conformance to the assessment criteria.,persons of the Applicant,is participated by,[],[],Relation
"All certification, laboratory report and documentation must be valid during the assessment process and labelling period.",certification,is participated by,[],[],Relation
"All certification, laboratory report and documentation must be valid during the assessment process and labelling period.",laboratory report,is participated by,[],[],Relation
"All certification, laboratory report and documentation must be valid during the assessment process and labelling period.",documentation,is participated by,[],[],Relation
The validity of all laboratory report and documentation shall be 5 years from the date of issue.,laboratory report,is participated by,[],[],Relation
The validity of all laboratory report and documentation shall be 5 years from the date of issue.,documentation,is participated by,[],[],Relation
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,third party,is participated by,[],[],Relation
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,manufacturer,is participated by,[],[],Relation
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,ISO17025 certification,is participated by,[],[],Relation
The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems.,national accreditation systems,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards, BS EN, ASTM, Chinese National Standard or equivalent national standards.",product,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards, BS EN, ASTM, Chinese National Standard or equivalent national standards.",British Standards,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards, BS EN, ASTM, Chinese National Standard or equivalent national standards.",BS EN,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards, BS EN, ASTM, Chinese National Standard or equivalent national standards.",ASTM,is participated by,[],[],Relation
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards, BS EN, ASTM, Chinese National Standard or equivalent national standards.",Chinese National Standard,is participated by,[],[],Relation
