:START_ID,:END_ID,:TYPE
"The product shall fulfil the quality, safety, air leakage, and other functional requirements.",a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
The manufacturer shall provide a 10-year guarantee to the product.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
manufacturer,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
The manufacturer of the product shall have an energy management programme.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
The manufacturer has initiatives taken to reduce energy use and improve energy efficiency.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
The manufacturer has initiatives or requirements for suppliers or contract manufacturers.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
suppliers,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
contract manufacturers,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
There is a requirement for valid certification of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
ISO14001,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
EU Eco-Management and Audit Scheme,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
EMAS,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Product packaging shall not contain halogenated plastics.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
product packaging,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
packaging materials,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
The technology adopted enables the glazing product to reduce resources used in maintenance or energy.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
technology,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
"Product shall fulfil the quality, safety, air leakage and other functional requirements.",a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Manufacturer shall provide a 10-year guarantee to the product.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
"Product shall NOT contain substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product.",a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
IARC Group 1,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
IARC Group 2A,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
IARC Group 2B,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Product shall NOT contain organotin compounds.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
Product shall NOT contain phthalates or polybrominated diphenylethers.,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
phthalates,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
polybrominated diphenylethers,a74484a10a136df1a7624acf07513a21cb86dad5cb13594013dfaab11e955616,Source
European Union Directive 2001/59/EC,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
harmful substances,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
tinted glazing product,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
toxic heavy metals,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
"lead (Pb), cadmium (Cd), mercury (Hg), chromium (Cr), arsenic (As), selenium (Se), antimony (Sb), cobalt (Co)",736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
double/triple glazing product,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
chlorinated / brominated paraffins,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
Filler gases,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
insulating units,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
CIC Green Product Certification,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
HKGBC Green Product Accreditation and Standards,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
"The European Union Directive 2001/59/EC classifies substances as harmful, toxic, or very toxic.",736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
The following requirements are applicable to tinted glazing product only.,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
Product shall not contain toxic heavy metals or ingredients containing heavy metals.,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
The requirements are applicable to tinted glazing products.,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
The product shall not contain chlorinated or brominated paraffins.,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
The requirements are applicable to double/triple glazing products.,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
Filler gases used in the insulating units have a GWP100 of ≤ 5.,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
The requirements are part of the product specifications.,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
ingredients containing heavy metals,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
Product shall not contain chlorinated / brominated paraffins.,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
Filler gases used in the insulating units are less than or equal to 5 in GWP100.,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
GWP100,736c7ba772806f3760b1b5df7a2a945605347e245f223ff7a881a56bc8862b08,Source
Scheme,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
Hong Kong Green Building Council,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
"consumers, building professionals and policy makers",20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
Standard,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
assessment criteria and benchmarks,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
verification methods,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
glazing products,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
building material,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
substances harmful to environment and health,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
energy losses,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
assessment criteria,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
energy-efficient building envelop,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
glass in windows and building envelop,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
glass blocks and bricks,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
application,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
type and product series,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The Scheme is owned by the Construction Industry Council (CIC) and implemented by the Hong Kong Green Building Council (HKGBC).,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
"The Scheme aims to help consumers, building professionals, and policy makers identify environmentally preferable building materials and products.",20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The Standard sets out the assessment criteria and their benchmarks for glazing products.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The Standard governs the application and award of a label under the Scheme.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The Standard defines the verification methods.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The Standard determines which labelling grade should be awarded to the product according to the assessment criteria.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
This Standard neither modifies nor supersedes laws and regulations.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
Compliance with this Standard is not a substitute for compliance with any applicable laws or regulations.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
"Glazing products are commonly used for fixed and opening windows, window doors, curtain walls, and other elements of the building envelope.",20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The glazing area of a building serves as an interface to transmit light and provide an outdoor view.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
Many glazing products contain substances that may be harmful to the environment and human health.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The greatest environmental impact of glazing products results from energy losses during the building operation stage.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The assessment criteria developed for glazing are to promote the use of energy-efficient building envelopes.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The assessment criteria are to minimize the environmental impact through stringent assessment criteria on the production process and use of materials.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
"The scope of this Standard is applicable to glass in fixed and opening windows, window doors, and other elements of the building envelope.",20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The Scheme is an environmental labelling scheme owned by the Construction Industry Council and implemented by the Hong Kong Green Building Council.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
consumers,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
building professionals,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
policy makers,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The Standard sets out the assessment criteria and their benchmarks for glazing products to govern the application and award of a label under the Scheme.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The Standard defines the verification methods to determine which labelling grade should be awarded to the product according to the assessment criteria.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
laws,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
regulations,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
manufacturing,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
marketing,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
"Glazing products are commonly used building material for fixed and opening windows, window doors, curtain walls and other elements of the building envelope.",20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
fixed and opening windows,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
window doors,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
curtain walls,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
building envelope,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
"The glazing area of a building could account for 10 to 25% of a building's exposed surface, serving as an interface to transmit light and provide outdoor view.",20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
glazing area,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
building,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
exposed surface,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
light,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
outdoor view,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
"Common types of glazing being used in architectural applications include clear and tinted float glass, tempered glass, and laminated glass as well as a variety of coated glasses.",20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
glazing,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
clear and tinted float glass,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
tempered glass,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
laminated glass,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
coated glasses,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
substances,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
environment,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
human health,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The greatest environmental impact of glazing products results from the energy losses during the building operation stage due to their long technical service life.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
environmental impact,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
building operation stage,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
technical service life,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelope and to minimize the environmental impact through stringent assessment criteria on the production process and use of materials.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
energy-efficient building envelope,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
production process,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
materials,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
glass,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
glass blocks,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
bricks,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
internal partitions,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
Each application should specify its types and product series.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
types,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
product series,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
One application is only for one product series with the same type of glazing.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
applications,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
products,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
thickness,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
coatings,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
labelled product series,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
A labelled product series is only eligible for applying within the validity period of the label.,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
validity period,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
label,20b62f3c2f89741af6c94e00e9fd4dee42056340fb9d91a81729b6b76367905f,Source
CIC,29a6c443de62cb76bbc3df2757f3cf53c0198e814b15a6116f48a7eccd41e937,Source
Green Product Certification,29a6c443de62cb76bbc3df2757f3cf53c0198e814b15a6116f48a7eccd41e937,Source
Green Label,29a6c443de62cb76bbc3df2757f3cf53c0198e814b15a6116f48a7eccd41e937,Source
CNAS,29a6c443de62cb76bbc3df2757f3cf53c0198e814b15a6116f48a7eccd41e937,Source
Conformity Assessment,29a6c443de62cb76bbc3df2757f3cf53c0198e814b15a6116f48a7eccd41e937,Source
Double or triple glazing,29a6c443de62cb76bbc3df2757f3cf53c0198e814b15a6116f48a7eccd41e937,Source
two layers of glass,29a6c443de62cb76bbc3df2757f3cf53c0198e814b15a6116f48a7eccd41e937,Source
External reflectance,29a6c443de62cb76bbc3df2757f3cf53c0198e814b15a6116f48a7eccd41e937,Source
daylight reflected,29a6c443de62cb76bbc3df2757f3cf53c0198e814b15a6116f48a7eccd41e937,Source
