node,conceptualized_node,node_type
"Laboratory test reports, MSDS, self-declaration letter, and production documentation are required.","compliance, documentation, regulation, certification, verification",event
"The product shall not contain chlorinated / brominated paraffins, and filler gases with 100-year global warming potential (GWP100) > 5 shall not be used in the insulating units.","sustainability, regulation, environmental protection, compliance, manufacturing",event
The English version prevails in cases of inconsistency with the Chinese version.,"dominance, preference, authority, precedence, hierarchy",event
The document is copyrighted by the Construction Industry Council in 2020.,"copyright, protection, ownership, rights, intellectual property",event
The external reflectance of glazing product shall be less than 20%.,"reflectance, measurement, specification, glazing",event
Durability and environmental performance of glazing products is advocated in the glazing industry.,"sustainability, innovation, advocacy, durability, performance",event
Compliance with all applicable laws and regulations is a prerequisite for the manufacturing and marketing of the product,"compliance, regulation, legality, manufacturing, marketing",event
The company has 60-69 points.,"evaluation, ranking, performance, scoring, assessment",event
Packaging materials shall be comprised of 100% recycled material or be readily recyclable.,"sustainability, recycling, eco-friendly, materials, conservation",event
The greatest environmental impact of glazing products is resulted from the energy losses during the building operation stage due to their long technical service life,"energy loss, sustainability, inefficiency, impact, operation stage",event
Each application should specify its types and product series.,"categorization, specification, classification, organization, documentation",event
Points are awarded for the thermal insulation performance.,"evaluation, performance, assessment, scoring, insulation",event
The points for meeting each criterion stated in Section 4 are summarised in Table 2.,"evaluation, summary, criteria, analysis, documentation",event
The company is eligible for a 'Platinum' Label under this product category.,"certification, achievement, recognition, status, qualification",event
A Green grade is awarded for 50 to 59 points.,"grading, evaluation, assessment, achievement, scoring",event
"a Bronze, Silver, Gold or Platinum Label will be awarded according to the total points accumulated","ranking, achievement, reward, competition, evaluation",event
FIVE bonus points will be awarded if VLT of the product shall be reach 70%.,"bonus, reward, achievement, incentive, condition",event
Documentation on the packaging materials used is required.,"compliance, regulation, accountability, transparency, documentation",event
The U-value should be measured according to the applicable ISO 8990 or EN-ISO 12567 standard.,"measurement, standardization, compliance, insulation, construction",event
The company meets all minimum requirements laid down in the 'Core Criteria'.,"compliance, fulfillment, achievement, standards, qualification",event
Laboratory test report(s) on the U-value of the glazing product.,"testing, evaluation, measurement, analysis, performance",event
The visible light transmittance of the product should meet certain requirements.,"compliance, standards, quality control, specification, transmission",event
Documentation on the packaging materials used,"recording, analysis, materials, packaging, documentation",event
The Standard sets out the assessment criteria and their benchmarks for glazing products,"evaluation, criteria, benchmarking, standards, glazing",event
"The packaging materials shall be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.","sustainability, eco-friendly, recycling, waste reduction, environmentalism",event
This is a requirement of the assessment criteria.,"requirement, criteria, evaluation, assessment, standard",event
The manufacturer has initiatives or requirements for suppliers or contract manufacturers.,"procurement, sourcing, collaboration, compliance, partnership",event
"Product information includes instructions on installation, adjustment, and protection.","guidance, instructions, manual, setup, safety",event
"Compliance with this Standard is not a substitute for, and does not assure, compliance with any applicable laws or regulations","regulation, conformity, adherence, compliance, legal standards",event
Products are graded based on the points required for each grade.,"evaluation, classification, scoring, assessment, ranking",event
SC or SHGC of the glazing products shall meet the limits below (Table 2).,"compliance, regulation, standards, evaluation, specification",event
The technology adopted in the glazing manufacturing can enable the glazing products to reduce resources used in maintenance.,"innovation, sustainability, efficiency, conservation, technology integration",event
Laboratory test report(s) for all relevant quality and performance tests,"testing, analysis, evaluation, validation, documentation",event
Laboratory test report(s) on daylight transmittance are required.,"testing, measurement, certification, compliance, analysis",event
"## <span id=""page-5-0""></span>**1. INTRODUCTION** <span id=""page-5-1""></span> ## **1.1 PURPOSE**","introduction, purpose, document, structure, overview",event
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard,"exclusion, regulation, construction, standardization, architecture",event
The Standard defines the verification methods.,"validation, specification, compliance, standardization, methodology",event
The Scheme is owned by the Construction Industry Council (CIC) and implemented by the Hong Kong Green Building Council (HKGBC).,"ownership, implementation, collaboration, construction, sustainability",event
Persons of the Applicant demonstrate conformance to the assessment criteria.,"evaluation, compliance, qualification, assessment, demonstration",event
The product information should be provided on the packaging of the product and/or company website.,"labeling, transparency, marketing, compliance, information",event
It serves as verification for product information.,"validation, authentication, confirmation, certification, accuracy",event
Third-party entities are involved in the evaluation process.,"assessment, mediation, oversight, validation, impartiality",event
Bonus points will be awarded if SC or SHGC of the product meets the standard in Table 2.,"evaluation, standards, compliance, criteria, performance",event
All submissions and documentations shall be endorsed by the Chief Executive Officer or other authorised personnel,"approval, authorization, endorsement, verification, validation",event
the International Agency for Research on Cancer (IARC) classifies them as carcinogenic.,"classification, health, research, oncology, risk",event
Bonus points will be awarded if VLT of the product shall be reach 70%.,"achievement, measurement, improvement, compliance, goal",event
The tinted glazing product shall not contain toxic heavy metals or ingredients containing heavy metals.,"safety, compliance, regulation, toxicity, sustainability",event
"The product shall not contain toxic heavy metals, or ingredients containing heavy metals, including lead, cadmium, mercury, chromium, arsenic, selenium, antimony, and cobalt.","safety, regulation, compliance, health, standards",event
Points are awarded for the visible light transmittance.,"measurement, evaluation, assessment, optics, scoring",event
"The criteria include product information, thermal insulation performance, shading coefficient, and visible light transmittance.","evaluation, criteria, assessment, performance, specification",event
The product shall not contain chlorinated or brominated paraffins.,"regulation, safety, compliance, restriction, environment",event
Manufacturer of the products shall possess valid certificates of ISO14001 or the EU Eco-Management and Audit Scheme (EMAS).,"certification, compliance, standards, sustainability, regulation",event
Product packaging shall not contain halogenated plastics. All packaging materials shall be either comprised of 100% recycled material or readily recyclable.,"sustainability, recycling, eco-friendly, packaging, waste reduction",event
The following requirements are applicable to tinted glazing product only:,"regulation, specification, compliance, limitation, restriction",event
The Construction Industry Council publishes the Assessment Standard for GLAZING (Version 1.0a).,"publication, standards, assessment, construction, glazing",event
The product is awarded a 'Green' grade.,"sustainability, recognition, environment, certification, achievement",event
The following requirements are applicable to all glazing products:,"regulations, standards, specifications, compliance, guidelines",event
Visible light transmittance is a factor in product evaluation.,"evaluation, transparency, optics, measurement, analysis",event
Enhance the durability and environmental performance of the glazing products.,"innovation, sustainability, improvement, durability, performance",event
"The packaging materials shall: - o Not contain halogenated plastics,","sustainability, environmental concern, packaging standards, material regulation, eco-friendliness",event
The product is awarded a 'Bronze' grade.,"recognition, achievement, ranking, evaluation, accolade",event
Filler gases used in the insulating units have a GWP100 of ≤ 5.,"insulation, environment, sustainability, efficiency",event
The glazing area of a building serves as an interface to transmit light and provide outdoor view,"transmission, interface, architecture, transparency, illumination",event
The Standard defines the verification methods to determine which labelling grade should be awarded to the product.,"certification, standardization, assessment, evaluation, qualification",event
Self-cleaning glass.,"innovation, technology, cleanliness, maintenance, efficiency",event
Material Safety Data Sheets must be up-to-date to qualify as suitable.,"compliance, safety, documentation, regulation, standards",event
Labels are awarded based on total points accumulated.,"evaluation, achievement, recognition, classification, scoring",event
Bonus points will be awarded if SC or SHGC of the product the standard in Table 2.,"incentive, evaluation, standards, performance, compliance",event
Many of the glazing products contain substances that may be harmful to the environment and human health.,"pollution, toxicity, contamination, hazard, sustainability",event
"a 'Bronze', 'Silver', 'Gold' or 'Platinum' Label will be awarded according to the total points accumulated.","ranking, awarding, achievement, evaluation, competition",event
The requirement to be awarded a 'Green' Label under this product category is to obtain 50 points by meeting all minimum requirements laid down in the 'Core Criteria'.,"certification, criteria, standards, evaluation, qualification",event
The technology adopted in glazing manufacturing can enable the glazing products to reduce resources used in maintenance.,"innovation, efficiency, sustainability, technology, conservation",event
"No part of this document may be reproduced, stored in a retrieval system or transmitted without permission.","copyright, restriction, protection, authorization, control",event
The manufacturer of the product shall have effective energy management policies and procedures and / as an energy management programme.,"efficiency, sustainability, management, conservation, optimization",event
"The packaging materials shall: - o Be comprised of 100% recycled material or be readily recyclable, decomposable, or contain no coatings, impregnated chemicals or other materials that would prevent recycling or decomposition.","sustainability, recycling, eco-friendly, waste reduction, environmental responsibility",event
Initiatives or requirements for suppliers or contract manufacturers.,"procurement, outsourcing, compliance, collaboration, supply chain",event
"The Applicant shall submit energy management policies, procedures and programmes that is written or signed by Chief Executive Officer or other authorised representative of the Applicant.","policy submission, energy management, compliance, documentation, authorization",event
"In addition, glass manufacturer shall provide a 10-year guarantee covering functions and quality according to relevant standards.","guarantee, quality assurance, manufacturing standards, warranty, product reliability",event
Windows with two or three layers of glass are considered suitable for energy efficiency.,"insulation, efficiency, sustainability, glazing, conservation",event
Filler gases used in the insulating units are less than or equal to 5 in GWP100.,"insulation, efficiency, sustainability, environment, reduction",event
Provide recommended maintenance for the product.,"maintenance, upkeep, care, servicing, instructions",event
The document states that no part may be reproduced without permission.,"copyright, restriction, permission, protection, law",event
Glass blocks and bricks or glass used for internal partitions are excluded from this Standard.,"exclusion, standards, construction, materials",event
Provide details related to the end of service life of the product.,"disposal, recycling, obsolescence, termination, decommissioning",event
The document specifies the Core Criteria for GLAZING.,"specification, criteria, glazing, standards, guidelines",event
the product must comply with the criteria mentioned above.,"compliance, regulation, standards, conformity, requirements",event
Detailed plan(s) of energy consumption and reduction programme,"conservation, efficiency, planning, sustainability, reduction",event
Points are awarded under the assessment criteria of the Standard.,"evaluation, grading, measurement, scoring, benchmarking",event
"Product shall NOT contain: Substances listed in IARC Group 1, 2A and 2B ≥ 0.1% by weight of the product Organotin compounds Phthalates or polybrominated diphenylethers.","regulation, safety, compliance, restriction, chemical management",event
The manufacturer has initiatives taken to reduce energy use and improve energy efficiency.,"sustainability, innovation, efficiency, conservation, responsibility",event
The product is awarded a 'Silver' grade.,"recognition, achievement, evaluation, ranking, accolade",event
Glass manufacturer shall provide a 10-year guarantee covering functions and quality according to relevant standards.,"warranty, assurance, quality control, standards compliance, customer protection",event
"Laboratory test report(s), MSDS, self-declaration letter and production documentation","documentation, compliance, safety, testing, regulation",event
Spectral measurements shall comply with ASTM E903.,"standards, compliance, measurement, testing, regulation",event
The manufacturer earns 5 Points (Non-Core Criterion) for Environmental Management System.,"certification, achievement, sustainability, compliance, recognition",event
A Gold grade is awarded for 80 to 89 points.,"grading, achievement, recognition, evaluation, success",event
A product to be assessed should meet all the minimum requirements of the 'Core Criteria'.,"evaluation, assessment, standards, criteria, compliance",event
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards, BS EN, ASTM, Chinese National Standard or equivalent national standards.","standards, compliance, quality assurance, regulation, certification",event
"Product shall fulfil the quality, safety, air leakage and other functional requirements.","compliance, standards, functionality, assurance, testing",event
The company is eligible for a 'Silver' Label under this product category.,"certification, recognition, achievement, eligibility, award",event
"The tests should be conducted by either a third party or manufacturer who has received ISO 17025 certification or national accreditation systems e.g. HOKLAS, CNAS (same applied to the verification methods hereafter).","certification, accreditation, testing, compliance, standards",event
"Information on the product's U-value, solar heat gain coefficient (SHGC) and visible light transmittance (VLT).","efficiency, properties, performance, transparency, metrics",event
This criterion aims to increase manufacturers' incentives in embedding extra environmental features.,"sustainability, incentives, innovation, eco-friendly, enhancement",event
The document requires laboratory test reports for visible light transmittance.,"verification, analysis, transparency, specification, examination",event
Documentation describing the extra environmental features adopted as well as the product functions generated by the technology,"innovation, sustainability, technology, documentation, features",event
Verification of the product information is required.,"validation, authentication, inspection, confirmation, review",event
The International Organisation for Standardisation provides standards for product evaluation.,"standardization, regulation, quality control, evaluation, compliance",event
The Standard sets out the assessment criteria and their benchmarks for glazing products to govern the application and award of a label under the Scheme.,"standardization, benchmarking, regulation, certification, evaluation",event
The product earns 5 Points (Core Criterion) for Product Information.,"evaluation, scoring, rating, assessment, feedback",event
The product information should include details related to the end of service life of the product.,"lifecycle, decommissioning, discontinuation, expiration, obsolescence",event
The Standard defines the verification methods to determine which labelling grade should be awarded to the product according to the assessment criteria.,"certification, evaluation, standardization, compliance, quality control",event
"There is an increasing awareness of 'green products' among the contractors, architects and end-users.","sustainability, awareness, eco-friendly, innovation, trend",event
Documentation related to the label and relevant information should be provided.,"documentation, labeling, information, compliance, instruction",event
The company has 70-79 points.,"evaluation, performance, assessment, rating, scoring",event
The U-value measures how well a glazing product transfers heat.,"insulation, efficiency, heat transfer, glazing, thermal performance",event
"The product shall also not contain organotin compounds, phthalates or polybrominated diphenyl ethers (PBDEs).","safety, regulation, compliance, restriction, environment",event
The Hong Kong Accreditation Service is involved in the accreditation process.,"standards, certification, evaluation, oversight, quality assurance",event
5 Points (Core Criterion) will be awarded for Energy Management in Manufacturing.,"evaluation, scoring, sustainability, efficiency, innovation",event
"Durability and environmental performance of glazing products is advocated in the glazing industry due to the increasing awareness of ""green products"" among the contractors, architects and end-users, etc.","sustainability, innovation, advocacy, awareness, construction",event
"The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelop, and to minimise the environmental impact through stringent assessment criteria on the production process and use of materials","sustainability, efficiency, evaluation, conservation, innovation",event
The Applicant must demonstrate conformance to the assessment criteria.,"evaluation, compliance, qualification, standards, criteria",event
"A low U-value indicates the glazing product is well insulated, resulting in a reduction of cooling load.","insulation, efficiency, energy saving, thermal performance, sustainability",event
Laboratory test report(s) for all relevant quality and performance tests is required.,"compliance, verification, quality assurance, performance evaluation, testing",event
5 Bonus Points (Core Criterion) will be awarded for Visible Light Transmittance.,"recognition, achievement, evaluation, transparency, criteria",event
The greatest environmental impact of glazing products results from energy losses during the building operation stage.,"energy consumption, environmental impact, building efficiency, sustainability, heat loss",event
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series,"product line, differentiation, manufacturing, innovation, customization",event
The document requires laboratory test reports for shading coefficient.,"verification, analysis, evaluation, documentation, compliance",event
Product shall NOT contain phthalates or polybrominated diphenylethers.,"safety, regulation, restriction, compliance, health",event
"The technology adopted in the glazing manufacturing that can enable the glazing products to reduce resources used in: - o Maintenance, e.g. self-cleaning glass, etc.","innovation, efficiency, sustainability, technology, conservation",event
Any such carcinogens which are known to be present as contaminants shall be less than 0.1% by weight of the product.,"regulation, safety, contamination, health, standards",event
The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points between 50 and 89 points.,"compliance, assessment, qualification, evaluation, benchmarking",event
"Instructions on how the product shall be installed, adjusted and protected in a sustainable manner shall be provided.","guidelines, installation, sustainability, protection, adjustment",event
The Silver grade requires 70 - 79 points.,"grading, achievement, ranking, scoring, evaluation",event
A product must obtain 50 points to be awarded a Green Label.,"certification, evaluation, qualification, sustainability, assessment",event
The manufacturer of the product shall have effective energy management policies and procedures and / or an energy management programme.,"efficiency, sustainability, management, policy, optimization",event
Spectral measurements shall comply with ASTM E903 and the SHGC and VLT should be measured in accordance with the EN 410 or ISO 9050 standard.,"compliance, standardization, measurement, regulation, testing",event
The manufacturer shall provide a 10-year guarantee to the product.,"assurance, warranty, security, commitment, reliability",event
Laboratory test report(s) on the U-value of the entire glazing product are required.,"testing, compliance, assessment, measurement, certification",event
"Laboratory test report(s) on the SC, SHGC, external reflectance and VLT of the glazing product.","testing, analysis, measurement, evaluation, glazing",event
the evaluation criteria are listed in Table 2.,"evaluation, criteria, assessment, analysis, comparison",event
All packaging materials shall be either comprised of 100% recycled material or readily recyclable.,"sustainability, recycling, environmentalism, waste reduction, eco-friendliness",event
Initiatives taken to reduce energy use and improve energy efficiency are submitted as support for an energy management programme.,"sustainability, conservation, efficiency, management, innovation",event
The document explicitly states the priority of the English version.,"translation, clarification, importance, precedence, hierarchy",event
This requirement is for double or triple glazing products only.,"insulation, energy efficiency, windows, construction, sustainability",event
"The technology adopted enable the glazing product to reduce resources used in maintenance, e.g. self-cleaning glass, etc. Or Energy, such as lighting, e.g. instantly reactive glazing technology that changes the glass from clear to a dark blue tint, self tinted glass, etc.","innovation, sustainability, efficiency, technology, conservation",event
A valid ISO14001 or EMAS Certificate issued by local or overseas accredited certification bodies is required.,"certification, compliance, environmental management, standards, accreditation",event
Laboratory test report(s) are required on shading coefficient or solar heat gain coefficient.,"evaluation, testing, measurement, certification, verification",event
The glazing product shall not contain any carcinogenic substances or chemicals.,"safety, regulation, compliance, health, protection",event
"The technology adopted enable the glazing product to reduce resources used in maintenance, e.g. self-cleaning glass, etc.","innovation, efficiency, sustainability, advancement, automation",event
Table 3 provides benchmarks for grading glazing.,"evaluation, standards, criteria, assessment, benchmarking",event
The Construction Industry Council established the CIC Green Product Certification Scheme.,"sustainability, certification, innovation, environmentalism, industry standards",event
"The chemical tests should be conducted by either a third party or the manufacturer who has received the ISO17025 certification or relevant national accreditation systems, e.g. HOKLAS, CNAS, etc.","certification, accreditation, testing, compliance, standards",event
The manufacturer of the product shall have effective energy management policies and procedures.,"sustainability, efficiency, policy-making, management, conservation",event
"The double/triple glazing product shall not contain chlorinated/brominated paraffins, and filler gases with 100-year global warming potential greater than 5 shall not be used in the insulating units.","sustainability, insulation, environmental protection, regulations, eco-friendly design",event
Each application should specify its types and product series,"categorization, specification, classification, organization, identification",event
The validity of all laboratory report and documentation shall be 5 years from the date of issue.,"validity, documentation, regulation, compliance, expiration",event
"The product shall not contain chlorinated / brominated paraffins, and filler gases with 100-year global warming potential (GWP100) > 5.","sustainability, regulation, environmental protection, compliance",event
The assessment criteria are to minimize the environmental impact through stringent assessment criteria on the production process and use of materials.,"sustainability, evaluation, regulation, optimization, conservation",event
Manufacturer shall provide a 10-year guarantee to the product.,"warranty, assurance, reliability, commitment, security",event
FIVE bonus points will be awarded if VLT of the product reaches 70%.,"reward, achievement, incentive, performance, target",event
"The glazing product shall not contain any carcinogenic substances or chemicals classified by the IARC in Group 1, 2A or 2B.","safety, regulation, health, compliance, standards",event
"Laboratory test report(s), MSDS, self-declaration letter and production documentation to demonstrate the compliance with the criteria mentioned above shall be submitted.","compliance, documentation, verification, certification, proof",event
The Applicant shall have effective energy management policies and procedures.,"sustainability, efficiency, regulation, compliance, strategy",event
The company has 80-89 points.,"rating, evaluation, performance, assessment, score",event
be awarded a 'Green' Label under the Scheme.,"sustainability, recognition, achievement, certification, eco-friendly",event
The document states that the English version shall prevail in case of inconsistency or ambiguity between the English and Chinese versions.,"translation, precedence, clarity, language, interpretation",event
Subsequent applications can be made for similar products with different thickness and/or coatings under a labelled product series.,"application, labeling, modification, categorization, series",event
"Guarantee certificate supplied with the product or made available to the public, e.g. through manufacturer's website.","warranty, assurance, protection, commitment, verification",event
"Provide instructions on the installation, adjustment, and protection of the product.","guidance, setup, adjustment, safety, instruction",event
"Product shall fulfil the quality, safety, air leakage and other functional requirements","compliance, standards, regulation, testing, assurance",event
The company is eligible for a 'Bronze' Label under this product category.,"certification, recognition, achievement, validation, qualification",event
Points are awarded for the product information.,"reward system, incentives, recognition, evaluation, scoring",event
Guarantee certificate supplied with the product or made available to the public.,"warranty, assurance, protection, validation, security",event
The CIC Green Product Certification *(formerly known as HKGBC Green Product Accreditation and Standards [HK G-PASS])* (herein,"certification, sustainability, accreditation, standards, environmentalism",event
A requirement to be awarded a Green Label under this product category is to obtain 50 points by meeting all minimum requirements laid down in the Core Criteria.,"certification, qualification, assessment, sustainability, criteria",event
The technology adopted enables the glazing product to reduce resources used in maintenance or energy.,"innovation, sustainability, efficiency, conservation, technology integration",event
Verification of the Environmental Management System requires certification.,"compliance, audit, validation, accreditation, sustainability",event
"The product shall fulfil the quality, safety, air leakage and other functional requirements according to the British Standards.","compliance, regulation, standards, quality assurance, safety",event
The Scheme is owned by the Construction Industry Council (CIC) and implemented by the Hong Kong Green Building Council (HKGBC),"partnership, collaboration, governance, implementation, sustainability",event
A Platinum grade is awarded for 90 points or above.,"achievement, recognition, excellence, reward, distinction",event
Laboratory test report(s) on shading coefficient or solar heat gain coefficient are required.,"testing, analysis, certification, compliance, performance",event
The Standard defines the verification methods to determine which labelling grade should be awarded to the product,"certification, evaluation, standardization, classification, assessment",event
"Targets shall be set to reduce the environmental impacts during the manufacturing process which include but not limited to the reduction of hazardous substance emissions, energy consumption, CO2 emissions, secondary environmental load, waste management, water management, etc.","sustainability, conservation, efficiency, responsibility, eco-friendliness",event
"Alternatively, the U-value can be calculated according to the standard EN673 (Glazing) and EN ISO 10077 (Frame / Casement).","calculation, standards, measurement, glazing, insulation",event
The Standard determines which labelling grade should be awarded to the product according to the assessment criteria.,"evaluation, certification, standardization, compliance, grading",event
External reflectance of the glazing product shall be less than 20%.,"reflectivity, glazing, specification, measurement, compliance",event
"The product shall also not contain organotin compounds, phthalates or polybrominated diphenyl ethers (PBDEs), and classified as harmful – R20, 21 or 22, toxic – R23, 24 or 25, or very toxic – R26, 27, in accordance with EU Directives 2001/59/EC.","regulation, safety, compliance, toxicity, standards",event
The company meets all minimum requirements laid down in the 'Core Criteria' and has additional points beyond the 50 points.,"compliance, achievement, evaluation, success, standards",event
they are harmful to the environment and contribute to climate change.,"pollution, damage, contribution, climate, harm",event
A product obtains 70 to 79 points.,"evaluation, scoring, assessment, achievement, rating",event
The essential information shall be provided by the product manufacturer with each delivery of the glazing products or made available to the public.,"communication, compliance, transparency, information sharing, disclosure",event
The U-value can be calculated according to the standard EN673 and EN ISO 10077.,"calculation, standards, measurement, insulation, efficiency",event
The product must meet all minimum requirements laid down in the Core Criteria.,"compliance, standards, criteria, evaluation, qualification",event
The following essential information shall be provided by the product manufacturer with each delivery of the glazing products or made available to the public.,"delivery, information, communication, transparency",event
The Hong Kong Green Building Council Limited is involved in the evaluation process.,"sustainability, evaluation, certification, environmentalism, assessment",event
The purposes of the assessment criteria developed for glazing are to promote the use of energy-efficient building envelope and to minimize the environmental impact through stringent assessment criteria on the production process and use of materials.,"sustainability, efficiency, regulation, conservation, innovation",event
A reduction of cooling load.,"energy efficiency, conservation, optimization, sustainability",event
Instructions describing the recommended maintenance for the product.,"guidelines, upkeep, care, preservation, routine",event
Verification requires laboratory test report(s) for all relevant quality and performance tests.,"verification, testing, quality control, validation, compliance",event
FIVE bonus points will be awarded if VLT of the product shall reach 70%.,"reward, achievement, incentive, target, improvement",event
